matrix_id,candidate_id,vector,support,support_size,extended_support,extended_support_size,multiplier,is_ess,reason_ess,payoff,payoff_double
26,16,"12701928652954313305452/89694786838977892227061,4463744127348014568996/89694786838977892227061,15746833839662515345125/89694786838977892227061,0,4513479337507009582463/89694786838977892227061,6300971330947473728162/89694786838977892227061,0,16812652722860906746293/89694786838977892227061,0,3744130219266890156085/89694786838977892227061,0,0,13419035327638794760110/89694786838977892227061,0,11992011280791974034375/89694786838977892227061,0,0",21175,9,21175,9,34,True,T_pd_dbl,106680096098034824877932852/89694786838977892227061,1189.367854
26,17,"11056721873/65068905389,52985806364/845895770057,6688771056/44520830003,0,0,6688771056/44520830003,52985806364/845895770057,11056721873/65068905389,0,0,20917279361/845895770057,0,156441529781/845895770057,0,20917279361/845895770057,0,0",21735,9,21735,9,17,True,T_pd_dbl,1006084543246652/845895770057,1189.371763
26,18,"46064570409/356085757657,0,56166512520/356085757657,0,14868475813/356085757657,27276873256/356085757657,0,67332893661/356085757657,0,27276873256/356085757657,14868475813/356085757657,0,56166512520/356085757657,0,46064570409/356085757657,0,0",22197,9,22197,9,17,True,T_pd_dbl,423516309105836/356085757657,1189.366045
26,19,"2070164379394681935751/18813422614064921485212,1187821926878618769731/9406711307032460742606,1168495818371965160617/18813422614064921485212,0,247184763769930039181/1567785217838743457101,0,0,1568025135743466296825/9406711307032460742606,814161225488873401375/18813422614064921485212,0,0,2285705152457000722349/18813422614064921485212,294644428196190447139/9406711307032460742606,0,567949315246114794593/3135570435677486914202,0,0",22935,9,22935,9,34,True,T_pd_dbl,11188048393604258601062185/9406711307032460742606,1189.368742
26,20,"527516940525/5769854264276,253888999025/2884927132138,0,464021267875/5769854264276,178629354936/1442463566069,167773376486/1442463566069,167773376486/1442463566069,178629354936/1442463566069,464021267875/5769854264276,0,253888999025/2884927132138,527516940525/5769854264276,0,0,0,0,0",3579,10,3579,10,17,False,F_not_pd_kay_0_1,1715574492222223/1442463566069,1189.336447
26,21,"10444698775042040280950/142191673433303241847351,7225940858318230337825/142191673433303241847351,23984814956018613461371/142191673433303241847351,0,4969368661609695589171/568766693733212967389404,22168614432778199509514/142191673433303241847351,38337252139068293294234/426575020299909725542053,8946227037209690802506/60939288614272817934579,25383725040025530700100/426575020299909725542053,10160324011600617571775/142191673433303241847351,0,0,99400331017156921005325/568766693733212967389404,0,0,0,0",5111,10,5111,10,34,False,F_not_pd_kay_0_1,507350999248501282976863801/426575020299909725542053,1189.359374
26,22,"1560262776494622463325/18729567371668125291508,611709450492693273992/4682391842917031322877,1472186377892777925521/18729567371668125291508,0,651191913214888355641/9364783685834062645754,613709230119833874626/4682391842917031322877,507141626148376296209/4682391842917031322877,603904459540987141143/4682391842917031322877,1500024763052958227475/18729567371668125291508,0,0,1664942788915611552575/18729567371668125291508,941953886837408033725/9364783685834062645754,0,0,0,0",6647,10,6647,10,34,False,F_not_pd_kay_0_1,5568928734232369258432159/4682391842917031322877,1189.334195
26,23,"733491589245/8721974958446,531585502601/4360987479223,530624440175/4360987479223,712774739101/8721974958446,0,712774739101/8721974958446,530624440175/4360987479223,531585502601/4360987479223,733491589245/8721974958446,0,0,0,790301265325/8721974958446,790301265325/8721974958446,0,0,0",12783,10,12783,10,17,False,F_not_pd_kay_0_1,5186657059857736/4360987479223,1189.330876
26,24,"254224182422/3465206761717,464446222123/3465206761717,557958530119/6930413523434,0,0,317683317305/3465206761717,417270393949/3465206761717,417270393949/3465206761717,317683317305/3465206761717,0,0,557958530119/6930413523434,464446222123/3465206761717,254224182422/3465206761717,0,0,0",14823,10,14823,10,17,False,F_not_pd_kay_0_1,4121277378879642/3465206761717,1189.330872
27,1,"91/1993,260/1993,410/1993,471/1993,410/1993,260/1993,91/1993,0,0,0,0,0,0,0,0,0,0,0",127,7,127,7,18,True,T_pd_dbl,11110/1993,5.574511
27,2,"260/1993,410/1993,471/1993,410/1993,260/1993,91/1993,0,0,91/1993,0,0,0,0,0,0,0,0,0",319,7,319,7,36,True,T_pd_dbl,11110/1993,5.574511
